"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.361588816,200,1000,0.251304668
"A1","2",23.838819312,200,1000,0.252229922
"A1","3",24.306403056,200,1000,0.254526309
"A1","4",24.779472208,200,1000,0.256453867
"A1","5",25.251784752,200,1000,0.258577715
"A1","6",25.725799664,200,1000,0.260450195
"A1","7",26.199341696,200,1000,0.262619121
"A1","8",26.675248128,200,1000,0.264887031
"A1","9",27.14737152,200,1000,0.266303613
"A1","10",27.617508816,200,1000,0.268945781
"A1","11",28.093226096,200,1000,0.271353828
"A1","12",28.562985088,200,1000,0.27356127
"A1","13",29.038607792,200,1000,0.276173008
"A1","14",29.504962048,200,1000,0.278620273
"A1","15",29.982949152,200,1000,0.281761504
"A1","16",30.460085072,200,1000,0.284499766
"A1","17",30.934099984,200,1000,0.288232578
"A1","18",31.404048128,200,1000,0.291456191
"A1","19",31.873145088,200,1000,0.295592188
"A1","20",32.34621424,200,1000,0.300039355
"A1","21",32.827889808,200,1000,0.304651348
"A1","22",33.287056288,200,1000,0.309985195
"A1","23",33.763719328,200,1000,0.315913555
"A1","24",34.23868,200,1000,0.322121113
"A1","25",34.710519664,200,1000,0.328992773
"A1","26",35.185669488,200,1000,0.337464375
"A1","27",35.657225424,200,1000,0.345783633
"A1","28",36.1302,200,1000,0.355914805
"A1","29",36.604214912,200,1000,0.366128789
"A1","30",37.076149152,200,1000,0.378350625
"A1","31",37.55025864,200,1000,0.391544609
"A1","32",38.019639328,200,1000,0.407371133
"A1","33",38.494221696,200,1000,0.423282148
"A1","34",38.967669152,200,1000,0.440990703
"A1","35",39.439697968,200,1000,0.461084766
"A1","36",39.911537632,200,1000,0.483592891
"A1","37",40.387160336,200,1000,0.508357344
"A1","38",40.858905424,200,1000,0.534755664
"A1","39",41.331123392,200,1000,0.562949453
"A1","40",41.80476,200,1000,0.594276914
"A1","41",42.278491184,200,1000,0.629753711
"A1","42",42.74768272,200,1000,0.665756172
"A1","43",43.224440336,200,1000,0.7045125
"A1","44",43.695617968,200,1000,0.745220469
"A1","45",44.170862368,200,1000,0.788495469
"A1","46",44.641850848,200,1000,0.833267109
"A1","47",45.113312208,200,1000,0.882109609
"A1","48",45.588934912,200,1000,0.932631797
"A1","49",46.060869152,200,1000,0.982280156
"A1","50",46.533465424,200,1000,1.034752109
"A1","51",47.008520672,200,1000,1.088251328
"A1","52",47.478468816,200,1000,1.139511562
"A1","53",47.953713216,200,1000,1.189462422
"A1","54",48.426782368,200,1000,1.244052891
"A1","55",48.89654136,200,1000,1.291587031
"A1","56",49.368759328,200,1000,1.340320469
"A1","57",49.844003728,200,1000,1.386581562
"A1","58",50.31612712,200,1000,1.431187656
"A1","59",50.789669152,200,1000,1.471007344
"A1","60",51.26236,200,1000,1.509867969
"A1","61",51.735429152,200,1000,1.546763438
"A1","62",52.205377296,200,1000,1.578869375
"A1","63",52.682229488,200,1000,1.609018906
"A1","64",53.151704752,200,1000,1.63806375
"A1","65",53.62770576,200,1000,1.66244125
"A1","66",54.099545424,200,1000,1.679272344
"A1","67",54.57157424,200,1000,1.702154375
"A1","68",55.044737968,200,1000,1.718375781
"A1","69",55.51828,200,1000,1.733559844
"A1","70",55.989835936,200,1000,1.746044844
"A1","71",56.465364064,200,1000,1.753412656
"A1","72",56.936730848,200,1000,1.76299125
"A1","73",57.409894576,200,1000,1.766405781
"A1","74",57.883247456,200,1000,1.771296094
"A1","75",58.356127456,200,1000,1.777481875
"A1","76",58.829196608,200,1000,1.779535156
"A1","77",59.300752544,200,1000,1.779647188
"A1","78",59.776186096,200,1000,1.780213594
"A1","79",60.247363728,200,1000,1.778997031
"A1","80",60.719392544,200,1000,1.777620312
"A1","81",61.194542368,200,1000,1.77794125
"A1","82",61.66477424,200,1000,1.77171
"A1","83",62.137275936,200,1000,1.758647344
"A1","84",62.611763728,200,1000,1.746118594
"A1","85",63.0819956,200,1000,1.736884375
"A1","86",63.558942368,200,1000,1.729449688
"A1","87",64.030687456,200,1000,1.721877031
"A1","88",64.503094576,200,1000,1.716608594
"A1","89",64.97588,200,1000,1.712205625
"A1","90",65.44828712,200,1000,1.704566562
"A1","91",65.921356272,200,1000,1.698668281
"A1","92",66.393195936,200,1000,1.693596094
"A1","93",66.86645424,200,1000,1.686822656
"A1","94",67.339523392,200,1000,1.679299375
"A1","95",67.812970848,200,1000,1.673354062
"A1","96",68.286323728,200,1000,1.669453281
"A1","97",68.760149488,200,1000,1.663502969
"A1","98",69.23085424,200,1000,1.654836719
"A1","99",69.704017968,200,1000,1.648520469
"A1","100",70.179262368,200,1000,1.642175156
"A1","101",70.650534576,200,1000,1.636319375
"A1","102",71.122941696,200,1000,1.628989219
"A1","103",71.595159664,200,1000,1.6240475
"A1","104",72.069363728,200,1000,1.615878281
"A1","105",72.541108816,200,1000,1.607884531
"A1","106",73.015218304,200,1000,1.603860781
"A1","107",73.488571184,200,1000,1.595372656
"A1","108",73.960694576,200,1000,1.588821875
"A1","109",74.43253424,200,1000,1.581337188
"A1","110",74.90730576,200,1000,1.573730469
"A1","111",75.37734848,200,1000,1.567337969
"A1","112",75.850890512,200,1000,1.559456875
"A1","113",76.32594576,200,1000,1.553553594
"A1","114",76.79929864,200,1000,1.545777656
"A1","115",77.269057632,200,1000,1.538759688
"A1","116",77.745342368,200,1000,1.530742344
"A1","117",78.216141696,200,1000,1.526252188
"A1","118",78.688359664,200,1000,1.515653594
"A1","119",79.161428816,200,1000,1.510100938
"A1","120",79.63421424,200,1000,1.50234125
"A1","121",80.107377968,200,1000,1.495651875
"A2","1",23.361588816,200,800,0.315467168
"A2","2",23.838819312,200,800,0.319668711
"A2","3",24.306403056,200,800,0.321982617
"A2","4",24.779472208,200,800,0.324917051
"A2","5",25.251784752,200,800,0.327291523
"A2","6",25.725799664,200,800,0.329483438
"A2","7",26.199341696,200,800,0.33235043
"A2","8",26.675248128,200,800,0.334775938
"A2","9",27.14737152,200,800,0.337484883
"A2","10",27.617508816,200,800,0.340878867
"A2","11",28.093226096,200,800,0.343724766
"A2","12",28.562985088,200,800,0.347047695
"A2","13",29.038607792,200,800,0.350722422
"A2","14",29.504962048,200,800,0.354300234
"A2","15",29.982949152,200,800,0.358672695
"A2","16",30.460085072,200,800,0.363464609
"A2","17",30.934099984,200,800,0.368220312
"A2","18",31.404048128,200,800,0.373599961
"A2","19",31.873145088,200,800,0.37930707
"A2","20",32.34621424,200,800,0.385517344
"A2","21",32.827889808,200,800,0.392017266
"A2","22",33.287056288,200,800,0.400016289
"A2","23",33.763719328,200,800,0.408613633
"A2","24",34.23868,200,800,0.417659023
"A2","25",34.710519664,200,800,0.428013438
"A2","26",35.185669488,200,800,0.439498477
"A2","27",35.657225424,200,800,0.451659609
"A2","28",36.1302,200,800,0.465825078
"A2","29",36.604214912,200,800,0.481951016
"A2","30",37.076149152,200,800,0.497970234
"A2","31",37.55025864,200,800,0.516836758
"A2","32",38.019639328,200,800,0.537596289
"A2","33",38.494221696,200,800,0.559743164
"A2","34",38.967669152,200,800,0.583844688
"A2","35",39.439697968,200,800,0.610196211
"A2","36",39.911537632,200,800,0.639668867
"A2","37",40.387160336,200,800,0.671467734
"A2","38",40.858905424,200,800,0.70607
"A2","39",41.331123392,200,800,0.742811406
"A2","40",41.80476,200,800,0.781492812
"A2","41",42.278491184,200,800,0.823922969
"A2","42",42.74768272,200,800,0.868039531
"A2","43",43.224440336,200,800,0.914596406
"A2","44",43.695617968,200,800,0.961246172
"A2","45",44.170862368,200,800,1.011637031
"A2","46",44.641850848,200,800,1.062089688
"A2","47",45.113312208,200,800,1.117768984
"A2","48",45.588934912,200,800,1.170612891
"A2","49",46.060869152,200,800,1.226315391
"A2","50",46.533465424,200,800,1.279966719
"A2","51",47.008520672,200,800,1.334600938
"A2","52",47.478468816,200,800,1.387247969
"A2","53",47.953713216,200,800,1.438635781
"A2","54",48.426782368,200,800,1.490148438
"A2","55",48.89654136,200,800,1.537800781
"A2","56",49.368759328,200,800,1.584038281
"A2","57",49.844003728,200,800,1.627245938
"A2","58",50.31612712,200,800,1.670192969
"A2","59",50.789669152,200,800,1.709466719
"A2","60",51.26236,200,800,1.744000156
"A2","61",51.735429152,200,800,1.776841719
"A2","62",52.205377296,200,800,1.805203125
"A2","63",52.682229488,200,800,1.831985
"A2","64",53.151704752,200,800,1.856575
"A2","65",53.62770576,200,800,1.875888125
"A2","66",54.099545424,200,800,1.893393125
"A2","67",54.57157424,200,800,1.909697344
"A2","68",55.044737968,200,800,1.924007031
"A2","69",55.51828,200,800,1.933098125
"A2","70",55.989835936,200,800,1.943332031
"A2","71",56.465364064,200,800,1.95335375
"A2","72",56.936730848,200,800,1.95955875
"A2","73",57.409894576,200,800,1.963757656
"A2","74",57.883247456,200,800,1.967195469
"A2","75",58.356127456,200,800,1.969905625
"A2","76",58.829196608,200,800,1.971315625
"A2","77",59.300752544,200,800,1.970305312
"A2","78",59.776186096,200,800,1.970968438
"A2","79",60.247363728,200,800,1.969179375
"A2","80",60.719392544,200,800,1.967928906
"A2","81",61.194542368,200,800,1.963390469
"A2","82",61.66477424,200,800,1.959323438
"A2","83",62.137275936,200,800,1.95544625
"A2","84",62.611763728,200,800,1.950699844
"A2","85",63.0819956,200,800,1.941058281
"A2","86",63.558942368,200,800,1.91999625
"A2","87",64.030687456,200,800,1.903963438
"A2","88",64.503094576,200,800,1.891083438
"A2","89",64.97588,200,800,1.880996719
"A2","90",65.44828712,200,800,1.871740781
"A2","91",65.921356272,200,800,1.86344625
"A2","92",66.393195936,200,800,1.85511125
"A2","93",66.86645424,200,800,1.846143906
"A2","94",67.339523392,200,800,1.838366875
"A2","95",67.812970848,200,800,1.830132344
"A2","96",68.286323728,200,800,1.820269688
"A2","97",68.760149488,200,800,1.812927344
"A2","98",69.23085424,200,800,1.804060781
"A2","99",69.704017968,200,800,1.795476562
"A2","100",70.179262368,200,800,1.788002656
"A2","101",70.650534576,200,800,1.779298281
"A2","102",71.122941696,200,800,1.770212031
"A2","103",71.595159664,200,800,1.761903906
"A2","104",72.069363728,200,800,1.75408875
"A2","105",72.541108816,200,800,1.7460475
"A2","106",73.015218304,200,800,1.7368475
"A2","107",73.488571184,200,800,1.728813594
"A2","108",73.960694576,200,800,1.721616562
"A2","109",74.43253424,200,800,1.713394219
"A2","110",74.90730576,200,800,1.704965469
"A2","111",75.37734848,200,800,1.696653438
"A2","112",75.850890512,200,800,1.687462812
"A2","113",76.32594576,200,800,1.679546094
"A2","114",76.79929864,200,800,1.669557031
"A2","115",77.269057632,200,800,1.662440625
"A2","116",77.745342368,200,800,1.654292812
"A2","117",78.216141696,200,800,1.646044062
"A2","118",78.688359664,200,800,1.636188438
"A2","119",79.161428816,200,800,1.628898438
"A2","120",79.63421424,200,800,1.619727656
"A2","121",80.107377968,200,800,1.610232031
"A3","1",23.364709824,200,600,0.280504121
"A3","2",23.834752544,200,600,0.283545527
"A3","3",24.308578304,200,600,0.286147305
"A3","4",24.784957616,200,600,0.288890254
"A3","5",25.25254136,200,600,0.291629707
"A3","6",25.72825864,200,600,0.294395703
"A3","7",26.197450176,200,600,0.297514297
"A3","8",26.67307288,200,600,0.301077852
"A3","9",27.145290848,200,600,0.304760742
"A3","10",27.619400336,200,600,0.308787949
"A3","11",28.096252528,200,600,0.312922676
"A3","12",28.561188144,200,600,0.317349297
"A3","13",29.03085256,200,600,0.322520684
"A3","14",29.512149824,200,600,0.327648418
"A3","15",29.973964432,200,600,0.33325168
"A3","16",30.454315936,200,600,0.339496836
"A3","17",30.923129168,200,600,0.346031836
"A3","18",31.405277616,200,600,0.353481914
"A3","19",31.875887792,200,600,0.361504805
"A3","20",32.354536928,200,600,0.370455742
"A3","21",32.81909424,200,600,0.380156133
"A3","22",33.294149488,200,600,0.390959609
"A3","23",33.763151872,200,600,0.403213906
"A3","24",34.240004064,200,600,0.415632617
"A3","25",34.71014136,200,600,0.430353008
"A3","26",35.183210512,200,600,0.446397578
"A3","27",35.658171184,200,600,0.463298008
"A3","28",36.131902368,200,600,0.481935234
"A3","29",36.601283056,200,600,0.503173672
"A3","30",37.076149152,200,600,0.525669336
"A3","31",37.547988816,200,600,0.550034023
"A3","32",38.022476608,200,600,0.576308633
"A3","33",38.493843392,200,600,0.604694727
"A3","34",38.966155936,200,600,0.635067031
"A3","35",39.440549152,200,600,0.671532188
"A3","36",39.912672544,200,600,0.706346953
"A3","37",40.386876608,200,600,0.742576953
"A3","38",40.859189152,200,600,0.781685234
"A3","39",41.33377152,200,600,0.822804219
"A3","40",41.80523288,200,600,0.867401016
"A3","41",42.276315936,200,600,0.911298203
"A3","42",42.74910136,200,600,0.957736641
"A3","43",43.22292712,200,600,1.005310234
"A3","44",43.696658304,200,600,1.053602969
"A3","45",44.170200336,200,600,1.102465547
"A3","46",44.641377968,200,600,1.152903438
"A3","47",45.115582032,200,600,1.204212031
"A3","48",45.586097632,200,600,1.254960469
"A3","49",46.05926136,200,600,1.304567031
"A3","50",46.534884064,200,600,1.352964219
"A3","51",47.006345424,200,600,1.402228906
"A3","52",47.480171184,200,600,1.447559844
"A3","53",47.952389152,200,600,1.491963906
"A3","54",48.427255248,200,600,1.534461562
"A3","55",48.897676272,200,600,1.574855938
"A3","56",49.371123728,200,600,1.612698438
"A3","57",49.844382032,200,600,1.648342969
"A3","58",50.315370512,200,600,1.680910156
"A3","59",50.788439664,200,600,1.711077188
"A3","60",51.26236,200,600,1.738567188
"A3","61",51.73571288,200,600,1.762519219
"A3","62",52.206417632,200,600,1.784780312
"A3","63",52.681756608,200,600,1.803402031
"A3","64",53.15246136,200,600,1.821004531
"A3","65",53.62297696,200,600,1.836017656
"A3","66",54.09916712,200,600,1.848152969
"A3","67",54.57252,200,600,1.858592969
"A3","68",55.04445424,200,600,1.866971094
"A3","69",55.519604064,200,600,1.875357188
"A3","70",55.990119664,200,600,1.881112969
"A3","71",56.46404,200,600,1.886654219
"A3","72",56.933231536,200,600,1.890093906
"A3","73",57.4074356,200,600,1.892848281
"A3","74",57.880221024,200,600,1.894515469
"A3","75",58.354425088,200,600,1.894462188
"A3","76",58.826170176,200,600,1.8940025
"A3","77",59.300657968,200,600,1.892794375
"A3","78",59.773348816,200,600,1.890885625
"A3","79",60.245945088,200,600,1.889501562
"A3","80",60.72090576,200,600,1.886099219
"A3","81",61.189151536,200,600,1.882744062
"A3","82",61.665909152,200,600,1.879273438
"A3","83",62.139640336,200,600,1.876215625
"A3","84",62.61195288,200,600,1.871544688
"A3","85",63.083981696,200,600,1.86656125
"A3","86",63.558847792,200,600,1.859689688
"A3","87",64.030309152,200,600,1.841947344
"A3","88",64.501770512,200,600,1.831510156
"A3","89",64.976636608,200,600,1.820514375
"A3","90",65.448570848,200,600,1.811131094
"A3","91",65.922491184,200,600,1.801623125
"A3","92",66.395087456,200,600,1.793020625
"A3","93",66.867967456,200,600,1.785755156
"A3","94",67.340374576,200,600,1.776824844
"A3","95",67.812876272,200,600,1.768166562
"A3","96",68.28604,200,600,1.760770625
"A3","97",68.758163392,200,600,1.754126562
"A3","98",69.230570512,200,600,1.747528281
"A3","99",69.70609864,200,600,1.740069688
"A3","100",70.178411184,200,600,1.732982344
"A3","101",70.650723728,200,600,1.725680156
"A3","102",71.12237424,200,600,1.718377656
"A3","103",71.596294576,200,600,1.7113275
"A3","104",72.068417968,200,600,1.704234531
"A3","105",72.542811184,200,600,1.696893281
"A3","106",73.015596608,200,600,1.690278281
"A3","107",73.48772,200,600,1.682452812
"A3","108",73.958613904,200,600,1.675324375
"A3","109",74.434236608,200,600,1.667854844
"A3","110",74.905603392,200,600,1.660444375
"A3","111",75.379807456,200,600,1.653145781
"A3","112",75.852971184,200,600,1.645907812
"A3","113",76.325094576,200,600,1.637983438
"A3","114",76.797974576,200,600,1.630967656
"A3","115",77.271422032,200,600,1.624089531
"A3","116",77.742788816,200,600,1.616727031
"A3","117",78.21652,200,600,1.60972
"A3","118",78.688170512,200,600,1.601965156
"A3","119",79.161712544,200,600,1.59504375
"A3","120",79.634592544,200,600,1.588012188
"A3","121",80.10898576,200,600,1.580846562
"A4","1",23.364709824,200,400,0.35072293
"A4","2",23.834752544,200,400,0.355280664
"A4","3",24.308578304,200,400,0.359669531
"A4","4",24.784957616,200,400,0.364682656
"A4","5",25.25254136,200,400,0.370124844
"A4","6",25.72825864,200,400,0.376139883
"A4","7",26.197450176,200,400,0.382961016
"A4","8",26.67307288,200,400,0.390458359
"A4","9",27.145290848,200,400,0.398620273
"A4","10",27.619400336,200,400,0.407257539
"A4","11",28.096252528,200,400,0.416554453
"A4","12",28.561188144,200,400,0.427161992
"A4","13",29.03085256,200,400,0.438070664
"A4","14",29.512149824,200,400,0.449706836
"A4","15",29.973964432,200,400,0.462660156
"A4","16",30.454315936,200,400,0.476309258
"A4","17",30.923129168,200,400,0.49100668
"A4","18",31.405277616,200,400,0.507565898
"A4","19",31.875887792,200,400,0.524745781
"A4","20",32.354536928,200,400,0.543635625
"A4","21",32.81909424,200,400,0.563504922
"A4","22",33.294149488,200,400,0.585062422
"A4","23",33.763151872,200,400,0.608340391
"A4","24",34.240004064,200,400,0.632149844
"A4","25",34.71014136,200,400,0.659376016
"A4","26",35.183210512,200,400,0.688246562
"A4","27",35.658171184,200,400,0.717687344
"A4","28",36.131902368,200,400,0.749666172
"A4","29",36.601283056,200,400,0.784349219
"A4","30",37.076149152,200,400,0.819572656
"A4","31",37.547988816,200,400,0.85675375
"A4","32",38.022476608,200,400,0.895718125
"A4","33",38.493843392,200,400,0.936895938
"A4","34",38.966155936,200,400,0.978989844
"A4","35",39.440549152,200,400,1.023784062
"A4","36",39.912672544,200,400,1.069599141
"A4","37",40.386876608,200,400,1.116605547
"A4","38",40.859189152,200,400,1.164642344
"A4","39",41.33377152,200,400,1.213516328
"A4","40",41.80523288,200,400,1.265434609
"A4","41",42.276315936,200,400,1.314973906
"A4","42",42.74910136,200,400,1.366115469
"A4","43",43.22292712,200,400,1.416619844
"A4","44",43.696658304,200,400,1.466228906
"A4","45",44.170200336,200,400,1.516230938
"A4","46",44.641377968,200,400,1.565095156
"A4","47",45.115582032,200,400,1.614180469
"A4","48",45.586097632,200,400,1.661509062
"A4","49",46.05926136,200,400,1.706091406
"A4","50",46.534884064,200,400,1.748903906
"A4","51",47.006345424,200,400,1.791771094
"A4","52",47.480171184,200,400,1.829246094
"A4","53",47.952389152,200,400,1.865981875
"A4","54",48.427255248,200,400,1.900147031
"A4","55",48.897676272,200,400,1.932246094
"A4","56",49.371123728,200,400,1.962097656
"A4","57",49.844382032,200,400,1.988949531
"A4","58",50.315370512,200,400,2.014066406
"A4","59",50.788439664,200,400,2.035836406
"A4","60",51.26236,200,400,2.055019219
"A4","61",51.73571288,200,400,2.072580312
"A4","62",52.206417632,200,400,2.088369375
"A4","63",52.681756608,200,400,2.101482344
"A4","64",53.15246136,200,400,2.112368438
"A4","65",53.62297696,200,400,2.121742969
"A4","66",54.09916712,200,400,2.129307969
"A4","67",54.57252,200,400,2.136297031
"A4","68",55.04445424,200,400,2.141304531
"A4","69",55.519604064,200,400,2.14525625
"A4","70",55.990119664,200,400,2.147789531
"A4","71",56.46404,200,400,2.149264531
"A4","72",56.933231536,200,400,2.151478125
"A4","73",57.4074356,200,400,2.150679219
"A4","74",57.880221024,200,400,2.149781719
"A4","75",58.354425088,200,400,2.148877656
"A4","76",58.826170176,200,400,2.1455475
"A4","77",59.300657968,200,400,2.14305375
"A4","78",59.773348816,200,400,2.139732656
"A4","79",60.245945088,200,400,2.136554531
"A4","80",60.72090576,200,400,2.131910938
"A4","81",61.189151536,200,400,2.1283725
"A4","82",61.665909152,200,400,2.123280312
"A4","83",62.139640336,200,400,2.118066562
"A4","84",62.61195288,200,400,2.112316094
"A4","85",63.083981696,200,400,2.106478438
"A4","86",63.558847792,200,400,2.099787031
"A4","87",64.030309152,200,400,2.085055156
"A4","88",64.501770512,200,400,2.067145469
"A4","89",64.976636608,200,400,2.055306094
"A4","90",65.448570848,200,400,2.046418906
"A4","91",65.922491184,200,400,2.037382969
"A4","92",66.395087456,200,400,2.028367812
"A4","93",66.867967456,200,400,2.019545469
"A4","94",67.340374576,200,400,2.011324844
"A4","95",67.812876272,200,400,2.002414062
"A4","96",68.28604,200,400,1.995116562
"A4","97",68.758163392,200,400,1.987741719
"A4","98",69.230570512,200,400,1.979904531
"A4","99",69.70609864,200,400,1.971288594
"A4","100",70.178411184,200,400,1.96389875
"A4","101",70.650723728,200,400,1.955210938
"A4","102",71.12237424,200,400,1.94778875
"A4","103",71.596294576,200,400,1.9405225
"A4","104",72.068417968,200,400,1.932537188
"A4","105",72.542811184,200,400,1.924861406
"A4","106",73.015596608,200,400,1.916999531
"A4","107",73.48772,200,400,1.908355156
"A4","108",73.958613904,200,400,1.899601562
"A4","109",74.434236608,200,400,1.89134
"A4","110",74.905603392,200,400,1.8837625
"A4","111",75.379807456,200,400,1.874576719
"A4","112",75.852971184,200,400,1.867285781
"A4","113",76.325094576,200,400,1.858000312
"A4","114",76.797974576,200,400,1.850100156
"A4","115",77.271422032,200,400,1.841655938
"A4","116",77.742788816,200,400,1.833236406
"A4","117",78.21652,200,400,1.824571562
"A4","118",78.688170512,200,400,1.816321406
"A4","119",79.161712544,200,400,1.807847031
"A4","120",79.634592544,200,400,1.79802875
"A4","121",80.10898576,200,400,1.789295625
"A5","1",23.357332896,200,250,0.456329688
"A5","2",23.83342848,200,250,0.457462891
"A5","3",24.302714592,200,250,0.459346367
"A5","4",24.781931184,200,250,0.462421328
"A5","5",25.250082384,200,250,0.46591332
"A5","6",25.729771856,200,250,0.470150859
"A5","7",26.201706096,200,250,0.476023633
"A5","8",26.677707104,200,250,0.482311445
"A5","9",27.142737296,200,250,0.490028281
"A5","10",27.618454576,200,250,0.498933867
"A5","11",28.090105088,200,250,0.508282578
"A5","12",28.560998992,200,250,0.518978047
"A5","13",29.03983728,200,250,0.530765781
"A5","14",29.503543408,200,250,0.543180977
"A5","15",29.989758624,200,250,0.556712812
"A5","16",30.45753152,200,250,0.5716325
"A5","17",30.921710528,200,250,0.587596758
"A5","18",31.397900688,200,250,0.605170156
"A5","19",31.865011552,200,250,0.623684219
"A5","20",32.327204464,200,250,0.643217305
"A5","21",32.808407152,200,250,0.66450875
"A5","22",33.300864384,200,250,0.685428125
"A5","23",33.765232544,200,250,0.709042578
"A5","24",34.239531184,200,250,0.733627422
"A5","25",34.710897968,200,250,0.760439844
"A5","26",35.181697296,200,250,0.786789297
"A5","27",35.65826576,200,250,0.815265078
"A5","28",36.13114576,200,250,0.846148438
"A5","29",36.60308,200,250,0.877359688
"A5","30",37.078040672,200,250,0.909709766
"A5","31",37.547137632,200,250,0.943376016
"A5","32",38.022098304,200,250,0.979423047
"A5","33",38.492897632,200,250,1.015913359
"A5","34",38.965493904,200,250,1.053975547
"A5","35",39.442818976,200,250,1.092055234
"A5","36",39.91276712,200,250,1.133087188
"A5","37",40.38612,200,250,1.173759375
"A5","38",40.858716272,200,250,1.2161
"A5","39",41.330839664,200,250,1.258946797
"A5","40",41.804192544,200,250,1.301313359
"A5","41",42.276126784,200,250,1.345103125
"A5","42",42.750709152,200,250,1.388458594
"A5","43",43.223305424,200,250,1.431180469
"A5","44",43.695239664,200,250,1.47339125
"A5","45",44.169349152,200,250,1.514585625
"A5","46",44.642607456,200,250,1.556108281
"A5","47",45.114257968,200,250,1.596855312
"A5","48",45.588083728,200,250,1.636204531
"A5","49",46.058599328,200,250,1.671642812
"A5","50",46.531952208,200,250,1.707296094
"A5","51",47.004170176,200,250,1.739689844
"A5","52",47.479603728,200,250,1.771009844
"A5","53",47.950970512,200,250,1.8000725
"A5","54",48.424701696,200,250,1.825867031
"A5","55",48.898054576,200,250,1.850084844
"A5","56",49.369043056,200,250,1.872761875
"A5","57",49.84466576,200,250,1.893480156
"A5","58",50.316032544,200,250,1.911368906
"A5","59",50.789290848,200,250,1.927153125
"A5","60",51.260846784,200,250,1.941599062
"A5","61",51.735807456,200,250,1.953912812
"A5","62",52.20622848,200,250,1.963856875
"A5","63",52.680621696,200,250,1.971708906
"A5","64",53.153312544,200,250,1.97921375
"A5","65",53.625246784,200,250,1.984198281
"A5","66",54.097937632,200,250,1.98896625
"A5","67",54.570250176,200,250,1.991291719
"A5","68",55.044643392,200,250,1.993287969
"A5","69",55.520360672,200,250,1.994430469
"A5","70",55.99068712,200,250,1.99518875
"A5","71",56.464418304,200,250,1.995674688
"A5","72",56.937014576,200,250,1.995543281
"A5","73",57.40885424,200,250,1.994334844
"A5","74",57.882585424,200,250,1.991552188
"A5","75",58.354519664,200,250,1.989065312
"A5","76",58.82702136,200,250,1.985823281
"A5","77",59.301036272,200,250,1.98203625
"A5","78",59.775240336,200,250,1.978873594
"A5","79",60.246890848,200,250,1.974670781
"A5","80",60.72185152,200,250,1.96938375
"A5","81",61.192461696,200,250,1.964171875
"A5","82",61.666476608,200,250,1.960707969
"A5","83",62.140396944,200,250,1.955496875
"A5","84",62.610628816,200,250,1.950523281
"A5","85",63.083225088,200,250,1.945240156
"A5","86",63.55771288,200,250,1.939552656
"A5","87",64.030025424,200,250,1.934105938
"A5","88",64.502716272,200,250,1.927794062
"A5","89",64.975123392,200,250,1.919667344
"A5","90",65.448476272,200,250,1.905869531
"A5","91",65.919937632,200,250,1.892731562
"A5","92",66.393006784,200,250,1.88106625
"A5","93",66.867967456,200,250,1.870612031
"A5","94",67.341320336,200,250,1.860824531
"A5","95",67.813065424,200,250,1.852122188
"A5","96",68.285661696,200,250,1.842635156
"A5","97",68.75844712,200,250,1.83367
"A5","98",69.23227288,200,250,1.824900938
"A5","99",69.703639664,200,250,1.816375469
"A5","100",70.176803392,200,250,1.808785781
"A5","101",70.650345424,200,250,1.801097188
"A5","102",71.122657968,200,250,1.793540312
"A5","103",71.59572712,200,250,1.785389688
"A5","104",72.069931184,200,250,1.776906875
"A5","105",72.541581696,200,250,1.76989
"A5","106",73.01294848,200,250,1.76174875
"A5","107",73.485923056,200,250,1.754148438
"A5","108",73.959465088,200,250,1.745413281
"A5","109",74.432912544,200,250,1.737619531
"A5","110",74.90636,200,250,1.730503281
"A5","111",75.379145424,200,250,1.722358438
"A5","112",75.853254912,200,250,1.714238125
"A5","113",76.32547288,200,250,1.7058
"A5","114",76.795893904,200,250,1.698706406
"A5","115",77.270381696,200,250,1.691504062
"A5","116",77.74316712,200,250,1.683393594
"A5","117",78.217087456,200,250,1.676279688
"A5","118",78.688737968,200,250,1.667780781
"A5","119",79.160766784,200,250,1.6605675
"A5","120",79.63374136,200,250,1.652580156
"A5","121",80.10709424,200,250,1.644567188
"A6","1",23.357332896,200,200,0.631609648
"A6","2",23.83342848,200,200,0.629014023
"A6","3",24.302714592,200,200,0.629438477
"A6","4",24.781931184,200,200,0.63093082
"A6","5",25.250082384,200,200,0.631934297
"A6","6",25.729771856,200,200,0.634939688
"A6","7",26.201706096,200,200,0.638895664
"A6","8",26.677707104,200,200,0.644005039
"A6","9",27.142737296,200,200,0.650437578
"A6","10",27.618454576,200,200,0.657846719
"A6","11",28.090105088,200,200,0.667033594
"A6","12",28.560998992,200,200,0.676420391
"A6","13",29.03983728,200,200,0.687165
"A6","14",29.503543408,200,200,0.699037266
"A6","15",29.989758624,200,200,0.711639453
"A6","16",30.45753152,200,200,0.725427734
"A6","17",30.921710528,200,200,0.740430078
"A6","18",31.397900688,200,200,0.755574844
"A6","19",31.865011552,200,200,0.773667109
"A6","20",32.327204464,200,200,0.791343594
"A6","21",32.808407152,200,200,0.811229688
"A6","22",33.300864384,200,200,0.830755078
"A6","23",33.765232544,200,200,0.85231875
"A6","24",34.239531184,200,200,0.874295703
"A6","25",34.710897968,200,200,0.898770781
"A6","26",35.181697296,200,200,0.92343125
