"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.362061696,200,1000,0.135128906
"A1","2",23.829834592,200,1000,0.134482119
"A1","3",24.304700688,200,1000,0.134150791
"A1","4",24.78060712,200,1000,0.134114473
"A1","5",25.256229824,200,1000,0.133713477
"A1","6",25.72967728,200,1000,0.13361209
"A1","7",26.203597616,200,1000,0.133385703
"A1","8",26.67070848,200,1000,0.133050781
"A1","9",27.144912544,200,1000,0.133218242
"A1","10",27.61883288,200,1000,0.133420176
"A1","11",28.093320672,200,1000,0.133499023
"A1","12",28.564214576,200,1000,0.133552598
"A1","13",29.032838656,200,1000,0.133943926
"A1","14",29.512433552,200,1000,0.134057314
"A1","15",29.98228712,200,1000,0.13424915
"A1","16",30.451005776,200,1000,0.134655059
"A1","17",30.930978976,200,1000,0.135376289
"A1","18",31.394023072,200,1000,0.135882246
"A1","19",31.874658304,200,1000,0.13650374
"A1","20",32.342052896,200,1000,0.137105156
"A1","21",32.821553216,200,1000,0.138308457
"A1","22",33.294527792,200,1000,0.139252529
"A1","23",33.765989152,200,1000,0.140513809
"A1","24",34.238017968,200,1000,0.142273145
"A1","25",34.712600336,200,1000,0.143795254
"A1","26",35.184061696,200,1000,0.14608208
"A1","27",35.657414576,200,1000,0.148410371
"A1","28",36.130956608,200,1000,0.150978711
"A1","29",36.603742032,200,1000,0.154166318
"A1","30",37.074352208,200,1000,0.157659648
"A1","31",37.549407456,200,1000,0.161759854
"A1","32",38.021625424,200,1000,0.166430879
"A1","33",38.495262032,200,1000,0.171551426
"A1","34",38.966912544,200,1000,0.177360195
"A1","35",39.441873216,200,1000,0.183621855
"A1","36",39.915698976,200,1000,0.191400664
"A1","37",40.385836272,200,1000,0.199234453
"A1","38",40.858148816,200,1000,0.20854459
"A1","39",41.33188,200,1000,0.219242051
"A1","40",41.805894912,200,1000,0.230385859
"A1","41",42.279342368,200,1000,0.242977812
"A1","42",42.750614576,200,1000,0.256699922
"A1","43",43.221319328,200,1000,0.271742148
"A1","44",43.696374576,200,1000,0.287797812
"A1","45",44.168403392,200,1000,0.30555875
"A1","46",44.640905088,200,1000,0.32425834
"A1","47",45.115203728,200,1000,0.345058633
"A1","48",45.587705424,200,1000,0.366846289
"A1","49",46.060112544,200,1000,0.389844727
"A1","50",46.531763056,200,1000,0.413934102
"A1","51",47.00691288,200,1000,0.43914625
"A1","52",47.480360336,200,1000,0.464641875
"A1","53",47.952578304,200,1000,0.490770625
"A1","54",48.424228816,200,1000,0.51789457
"A1","55",48.898527456,200,1000,0.544455938
"A1","56",49.369515936,200,1000,0.571684805
"A1","57",49.843530848,200,1000,0.59873332
"A1","58",50.315937968,200,1000,0.625697266
"A1","59",50.789858304,200,1000,0.65196625
"A1","60",51.262643728,200,1000,0.67768
"A1","61",51.73571288,200,1000,0.701434609
"A1","62",52.210389824,200,1000,0.726233594
"A1","63",52.680337968,200,1000,0.746937734
"A1","64",53.153028816,200,1000,0.769169219
"A1","65",53.625625088,200,1000,0.789533125
"A1","66",54.099356272,200,1000,0.808660547
"A1","67",54.572709152,200,1000,0.826407188
"A1","68",55.046062032,200,1000,0.843190234
"A1","69",55.518469152,200,1000,0.859128672
"A1","70",55.991727456,200,1000,0.873465312
"A1","71",56.464323728,200,1000,0.885248594
"A1","72",56.935123056,200,1000,0.897667656
"A1","73",57.411407792,200,1000,0.909664609
"A1","74",57.881450512,200,1000,0.920228438
"A1","75",58.355654576,200,1000,0.930862969
"A1","76",58.82891288,200,1000,0.939365
"A1","77",59.300563392,200,1000,0.948807812
"A1","78",59.773348816,200,1000,0.956276406
"A1","79",60.24660712,200,1000,0.961963594
"A1","80",60.718352208,200,1000,0.96850125
"A1","81",61.192556272,200,1000,0.971493984
"A1","82",61.66666576,200,1000,0.9732375
"A1","83",62.138694576,200,1000,0.977245312
"A1","84",62.611763728,200,1000,0.980894688
"A1","85",63.083225088,200,1000,0.985046172
"A1","86",63.557996608,200,1000,0.987115156
"A1","87",64.030403728,200,1000,0.990507344
"A1","88",64.5006356,200,1000,0.994717344
"A1","89",64.975028816,200,1000,0.997413125
"A1","90",65.448665424,200,1000,1.000012578
"A1","91",65.919843056,200,1000,1.003226953
"A1","92",66.39262848,200,1000,1.007872578
"A1","93",66.867967456,200,1000,1.01086875
"A1","94",67.340090848,200,1000,1.012933281
"A1","95",67.812592544,200,1000,1.014180234
"A1","96",68.284715936,200,1000,1.016871484
"A1","97",68.757879664,200,1000,1.020658047
"A1","98",69.232367456,200,1000,1.020660078
"A1","99",69.70468,200,1000,1.023908984
"A1","100",70.176897968,200,1000,1.026916562
"A1","101",70.649588816,200,1000,1.027136484
"A1","102",71.123698304,200,1000,1.028598359
"A1","103",71.593741024,200,1000,1.031366016
"A1","104",72.067850512,200,1000,1.031949922
"A1","105",72.541865424,200,1000,1.034799531
"A1","106",73.015407456,200,1000,1.03470375
"A1","107",73.486585088,200,1000,1.035614297
"A1","108",73.960694576,200,1000,1.035407734
"A1","109",74.43395288,200,1000,1.037325781
"A1","110",74.905035936,200,1000,1.038575781
"A1","111",75.377915936,200,1000,1.039551328
"A1","112",75.851079664,200,1000,1.039496094
"A1","113",76.323865088,200,1000,1.040150781
"A1","114",76.79740712,200,1000,1.040562188
"A1","115",77.270570848,200,1000,1.040641953
"A1","116",77.742315936,200,1000,1.041112031
"A1","117",78.214817632,200,1000,1.041183047
"A1","118",78.689305424,200,1000,1.040199844
"A1","119",79.16133424,200,1000,1.040075156
"A1","120",79.633930512,200,1000,1.040169453
"A1","121",80.106810512,200,1000,1.039463047
"A2","1",23.362061696,200,800,0.167205508
"A2","2",23.829834592,200,800,0.168020312
"A2","3",24.304700688,200,800,0.167813086
"A2","4",24.78060712,200,800,0.167881719
"A2","5",25.256229824,200,800,0.167769297
"A2","6",25.72967728,200,800,0.167874062
"A2","7",26.203597616,200,800,0.167730859
"A2","8",26.67070848,200,800,0.167728574
"A2","9",27.144912544,200,800,0.167804102
"A2","10",27.61883288,200,800,0.168205371
"A2","11",28.093320672,200,800,0.168441738
"A2","12",28.564214576,200,800,0.16867623
"A2","13",29.032838656,200,800,0.169346387
"A2","14",29.512433552,200,800,0.169855391
"A2","15",29.98228712,200,800,0.170398906
"A2","16",30.451005776,200,800,0.171181465
"A2","17",30.930978976,200,800,0.171880039
"A2","18",31.394023072,200,800,0.172894414
"A2","19",31.874658304,200,800,0.173961621
"A2","20",32.342052896,200,800,0.175178809
"A2","21",32.821553216,200,800,0.176643242
"A2","22",33.294527792,200,800,0.178488027
"A2","23",33.765989152,200,800,0.180895703
"A2","24",34.238017968,200,800,0.182996328
"A2","25",34.712600336,200,800,0.18568584
"A2","26",35.184061696,200,800,0.188908926
"A2","27",35.657414576,200,800,0.191843867
"A2","28",36.130956608,200,800,0.195582617
"A2","29",36.603742032,200,800,0.200307871
"A2","30",37.074352208,200,800,0.20506957
"A2","31",37.549407456,200,800,0.210862012
"A2","32",38.021625424,200,800,0.217524668
"A2","33",38.495262032,200,800,0.224659434
"A2","34",38.966912544,200,800,0.232621328
"A2","35",39.441873216,200,800,0.241541152
"A2","36",39.915698976,200,800,0.25186125
"A2","37",40.385836272,200,800,0.263089707
"A2","38",40.858148816,200,800,0.275454316
"A2","39",41.33188,200,800,0.289545547
"A2","40",41.805894912,200,800,0.304927598
"A2","41",42.279342368,200,800,0.321558887
"A2","42",42.750614576,200,800,0.339827812
"A2","43",43.221319328,200,800,0.358892422
"A2","44",43.696374576,200,800,0.37900375
"A2","45",44.168403392,200,800,0.400951094
"A2","46",44.640905088,200,800,0.424129492
"A2","47",45.115203728,200,800,0.449155352
"A2","48",45.587705424,200,800,0.475260234
"A2","49",46.060112544,200,800,0.502890781
"A2","50",46.531763056,200,800,0.531270625
"A2","51",47.00691288,200,800,0.560165234
"A2","52",47.480360336,200,800,0.589708594
"A2","53",47.952578304,200,800,0.618820234
"A2","54",48.424228816,200,800,0.649330977
"A2","55",48.898527456,200,800,0.679854531
"A2","56",49.369515936,200,800,0.710149453
"A2","57",49.843530848,200,800,0.738364688
"A2","58",50.315937968,200,800,0.768221797
"A2","59",50.789858304,200,800,0.796259219
"A2","60",51.262643728,200,800,0.822480781
"A2","61",51.73571288,200,800,0.848236406
"A2","62",52.210389824,200,800,0.873177109
"A2","63",52.680337968,200,800,0.895605547
"A2","64",53.153028816,200,800,0.917942891
"A2","65",53.625625088,200,800,0.939028594
"A2","66",54.099356272,200,800,0.958281016
"A2","67",54.572709152,200,800,0.976797969
"A2","68",55.046062032,200,800,0.993537031
"A2","69",55.518469152,200,800,1.009704219
"A2","70",55.991727456,200,800,1.025069375
"A2","71",56.464323728,200,800,1.037567031
"A2","72",56.935123056,200,800,1.05203375
"A2","73",57.411407792,200,800,1.062418203
"A2","74",57.881450512,200,800,1.074015781
"A2","75",58.355654576,200,800,1.083930625
"A2","76",58.82891288,200,800,1.094875703
"A2","77",59.300563392,200,800,1.104525078
"A2","78",59.773348816,200,800,1.112143516
"A2","79",60.24660712,200,800,1.119940625
"A2","80",60.718352208,200,800,1.127763438
"A2","81",61.192556272,200,800,1.133572969
"A2","82",61.66666576,200,800,1.140312188
"A2","83",62.138694576,200,800,1.145148281
"A2","84",62.611763728,200,800,1.145599062
"A2","85",63.083225088,200,800,1.14395625
"A2","86",63.557996608,200,800,1.142303359
"A2","87",64.030403728,200,800,1.142729219
"A2","88",64.5006356,200,800,1.145584688
"A2","89",64.975028816,200,800,1.146737656
"A2","90",65.448665424,200,800,1.149814688
"A2","91",65.919843056,200,800,1.153309609
"A2","92",66.39262848,200,800,1.155406172
"A2","93",66.867967456,200,800,1.158314688
"A2","94",67.340090848,200,800,1.160223438
"A2","95",67.812592544,200,800,1.162440625
"A2","96",68.284715936,200,800,1.164139531
"A2","97",68.757879664,200,800,1.166421484
"A2","98",69.232367456,200,800,1.169267266
"A2","99",69.70468,200,800,1.170735
"A2","100",70.176897968,200,800,1.172163906
"A2","101",70.649588816,200,800,1.173782891
"A2","102",71.123698304,200,800,1.176070391
"A2","103",71.593741024,200,800,1.176924766
"A2","104",72.067850512,200,800,1.179055859
"A2","105",72.541865424,200,800,1.179471016
"A2","106",73.015407456,200,800,1.181734219
"A2","107",73.486585088,200,800,1.182780938
"A2","108",73.960694576,200,800,1.183364609
"A2","109",74.43395288,200,800,1.183788672
"A2","110",74.905035936,200,800,1.184919297
"A2","111",75.377915936,200,800,1.185119844
"A2","112",75.851079664,200,800,1.185623516
"A2","113",76.323865088,200,800,1.185324531
"A2","114",76.79740712,200,800,1.184108516
"A2","115",77.270570848,200,800,1.183904219
"A2","116",77.742315936,200,800,1.183786719
"A2","117",78.214817632,200,800,1.183433672
"A2","118",78.689305424,200,800,1.181836562
"A2","119",79.16133424,200,800,1.180638281
"A2","120",79.633930512,200,800,1.179892266
"A2","121",80.106810512,200,800,1.179498359
"A3","1",23.36858744,200,600,0.137815859
"A3","2",23.840710832,200,600,0.137953271
"A3","3",24.308389152,200,600,0.137888252
"A3","4",24.780985424,200,600,0.137912139
"A3","5",25.249420352,200,600,0.138101973
"A3","6",25.73062304,200,600,0.138220723
"A3","7",26.199909152,200,600,0.138618477
"A3","8",26.672032544,200,600,0.139840127
"A3","9",27.141318656,200,600,0.140393486
"A3","10",27.611928832,200,600,0.141045303
"A3","11",28.095117616,200,600,0.141877148
"A3","12",28.57026744,200,600,0.14271791
"A3","13",29.03889152,200,600,0.143860459
"A3","14",29.506948144,200,600,0.144970498
"A3","15",29.983894912,200,600,0.146217197
"A3","16",30.447411888,200,600,0.147635742
"A3","17",30.917549184,200,600,0.149505732
"A3","18",31.398468144,200,600,0.151397529
"A3","19",31.876549824,200,600,0.153469199
"A3","20",32.342525776,200,600,0.155805918
"A3","21",32.820607456,200,600,0.158551699
"A3","22",33.294433216,200,600,0.161807461
"A3","23",33.766651184,200,600,0.165373418
"A3","24",34.23678848,200,600,0.169102969
"A3","25",34.710235936,200,600,0.173574668
"A3","26",35.183305088,200,600,0.178603809
"A3","27",35.656090512,200,600,0.184053984
"A3","28",36.131996944,200,600,0.189989316
"A3","29",36.604687792,200,600,0.196992559
"A3","30",37.07454136,200,600,0.204479355
"A3","31",37.549029152,200,600,0.212655312
"A3","32",38.022571184,200,600,0.221804219
"A3","33",38.497058976,200,600,0.231708223
"A3","34",38.96889864,200,600,0.24270875
"A3","35",39.44036,200,600,0.254749922
"A3","36",39.91324,200,600,0.26786375
"A3","37",40.385363392,200,600,0.281936191
"A3","38",40.858810848,200,600,0.297160273
"A3","39",41.332542032,200,600,0.313680391
"A3","40",41.80570576,200,600,0.331756602
"A3","41",42.276315936,200,600,0.350383867
"A3","42",42.748723056,200,600,0.370203047
"A3","43",43.224156608,200,600,0.390853672
"A3","44",43.696374576,200,600,0.41265957
"A3","45",44.16774136,200,600,0.435145156
"A3","46",44.642323728,200,600,0.459542305
"A3","47",45.113879664,200,600,0.484486836
"A3","48",45.588556608,200,600,0.510041758
"A3","49",46.060490848,200,600,0.535555938
"A3","50",46.532330512,200,600,0.561659844
"A3","51",47.005210512,200,600,0.589154102
"A3","52",47.478752544,200,600,0.615534727
"A3","53",47.95030848,200,600,0.642102734
"A3","54",48.424417968,200,600,0.668591797
"A3","55",48.897297968,200,600,0.694957656
"A3","56",49.371029152,200,600,0.720269375
"A3","57",49.843436272,200,600,0.745453828
"A3","58",50.317262032,200,600,0.769440859
"A3","59",50.788628816,200,600,0.792787969
"A3","60",51.262454576,200,600,0.814703125
"A3","61",51.734199664,200,600,0.835910547
"A3","62",52.205850176,200,600,0.855674062
"A3","63",52.680810848,200,600,0.874877109
"A3","64",53.156055248,200,600,0.892246328
"A3","65",53.627327456,200,600,0.908401094
"A3","66",54.098410512,200,600,0.923826406
"A3","67",54.57299288,200,600,0.939024922
"A3","68",55.04445424,200,600,0.952651094
"A3","69",55.51780712,200,600,0.965449297
"A3","70",55.99116,200,600,0.977309766
"A3","71",56.462810512,200,600,0.988861797
"A3","72",56.937014576,200,600,0.999746953
"A3","73",57.408570512,200,600,1.0092125
"A3","74",57.88315288,200,600,1.018528125
"A3","75",58.355276272,200,600,1.027475938
"A3","76",58.829102032,200,600,1.035553203
"A3","77",59.301225424,200,600,1.043738516
"A3","78",59.773916272,200,600,1.050738047
"A3","79",60.246701696,200,600,1.057837109
"A3","80",60.71948712,200,600,1.064414375
"A3","81",61.192650848,200,600,1.071023516
"A3","82",61.666854912,200,600,1.076874844
"A3","83",62.135006112,200,600,1.082698594
"A3","84",62.611385424,200,600,1.088326641
"A3","85",63.083225088,200,600,1.093761172
"A3","86",63.55629424,200,600,1.098110156
"A3","87",64.031160336,200,600,1.103346172
"A3","88",64.502621696,200,600,1.106639297
"A3","89",64.975217968,200,600,1.106065938
"A3","90",65.451502704,200,600,1.102785391
"A3","91",65.92069424,200,600,1.10116625
"A3","92",66.393763392,200,600,1.102824922
"A3","93",66.870521008,200,600,1.104019688
"A3","94",67.340469152,200,600,1.105893047
"A3","95",67.814862368,200,600,1.107645234
"A3","96",68.285661696,200,600,1.10957375
"A3","97",68.757595936,200,600,1.111439531
"A3","98",69.23132712,200,600,1.11423625
"A3","99",69.704396272,200,600,1.116222812
"A3","100",70.179073216,200,600,1.118055703
"A3","101",70.651007456,200,600,1.120083359
"A3","102",71.124076608,200,600,1.122183359
"A3","103",71.596578304,200,600,1.123441641
"A3","104",72.065107808,200,600,1.125848594
"A3","105",72.540352208,200,600,1.127401094
"A3","106",73.014556272,200,600,1.128531172
"A3","107",73.48772,200,600,1.130447188
"A3","108",73.959370512,200,600,1.131641562
"A3","109",74.43348,200,600,1.133345234
"A3","110",74.907211184,200,600,1.134165469
"A3","111",75.380847792,200,600,1.134981172
"A3","112",75.852403728,200,600,1.136544609
"A3","113",76.323297632,200,600,1.136915078
"A3","114",76.796555936,200,600,1.138893281
"A3","115",77.270854576,200,600,1.138823438
"A3","116",77.74222136,200,600,1.139072969
"A3","117",78.217560336,200,600,1.139343828
"A3","118",78.689778304,200,600,1.139497031
"A3","119",79.162374576,200,600,1.139371016
"A3","120",79.633173904,200,600,1.139362344
"A3","121",80.10756712,200,600,1.139779297
"A4","1",23.36858744,200,400,0.14503417
"A4","2",23.840710832,200,400,0.145491602
"A4","3",24.308389152,200,400,0.14613083
"A4","4",24.780985424,200,400,0.146924502
"A4","5",25.249420352,200,400,0.147653193
"A4","6",25.73062304,200,400,0.148497109
"A4","7",26.199909152,200,400,0.149620186
"A4","8",26.672032544,200,400,0.151078477
"A4","9",27.141318656,200,400,0.152760186
"A4","10",27.611928832,200,400,0.15465999
"A4","11",28.095117616,200,400,0.156685449
"A4","12",28.57026744,200,400,0.158984473
"A4","13",29.03889152,200,400,0.161397979
"A4","14",29.506948144,200,400,0.164081914
"A4","15",29.983894912,200,400,0.166909023
"A4","16",30.447411888,200,400,0.170280488
"A4","17",30.917549184,200,400,0.17389625
"A4","18",31.398468144,200,400,0.178075312
"A4","19",31.876549824,200,400,0.182459043
"A4","20",32.342525776,200,400,0.187160469
"A4","21",32.820607456,200,400,0.192508887
"A4","22",33.294433216,200,400,0.198616836
"A4","23",33.766651184,200,400,0.204760527
"A4","24",34.23678848,200,400,0.211214082
"A4","25",34.710235936,200,400,0.218618105
"A4","26",35.183305088,200,400,0.226715527
"A4","27",35.656090512,200,400,0.235231133
"A4","28",36.131996944,200,400,0.244578125
"A4","29",36.604687792,200,400,0.254619082
"A4","30",37.07454136,200,400,0.265487441
"A4","31",37.549029152,200,400,0.277057129
"A4","32",38.022571184,200,400,0.289530469
"A4","33",38.497058976,200,400,0.302791758
"A4","34",38.96889864,200,400,0.316615098
"A4","35",39.44036,200,400,0.331720195
"A4","36",39.91324,200,400,0.347265078
"A4","37",40.385363392,200,400,0.36367
"A4","38",40.858810848,200,400,0.381271914
"A4","39",41.332542032,200,400,0.399647891
"A4","40",41.80570576,200,400,0.419126445
"A4","41",42.276315936,200,400,0.438632031
"A4","42",42.748723056,200,400,0.458974766
"A4","43",43.224156608,200,400,0.479338008
"A4","44",43.696374576,200,400,0.500572109
"A4","45",44.16774136,200,400,0.522166953
"A4","46",44.642323728,200,400,0.54428582
"A4","47",45.113879664,200,400,0.566661602
"A4","48",45.588556608,200,400,0.588949883
"A4","49",46.060490848,200,400,0.611270273
"A4","50",46.532330512,200,400,0.63316793
"A4","51",47.005210512,200,400,0.655635781
"A4","52",47.478752544,200,400,0.676758906
"A4","53",47.95030848,200,400,0.697908984
"A4","54",48.424417968,200,400,0.7182325
"A4","55",48.897297968,200,400,0.738625938
"A4","56",49.371029152,200,400,0.757332656
"A4","57",49.843436272,200,400,0.775847422
"A4","58",50.317262032,200,400,0.793857578
"A4","59",50.788628816,200,400,0.810909219
"A4","60",51.262454576,200,400,0.826829062
"A4","61",51.734199664,200,400,0.842098828
